work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
2023,Senior Level,Full Time,Principal Data Scientist,80000,EUR,85847,Spain,WFH,Spain,Large,Data Scientist
2023,Mid Level,Contract,ML Engineer,30000,USD,30000,United States,WFH,United States,Small,Data Engineer
2023,Mid Level,Contract,ML Engineer,25500,USD,25500,United States,WFH,United States,Small,Data Engineer
2023,Senior Level,Full Time,Data Scientist,175000,USD,175000,Canada,WFH,Canada,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,120000,USD,120000,Canada,WFH,Canada,Medium,Data Scientist
2023,Senior Level,Full Time,Applied Scientist,222200,USD,222200,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Applied Scientist,136000,USD,136000,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Scientist,219000,USD,219000,Canada,WFO,Canada,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,141000,USD,141000,Canada,WFO,Canada,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,147100,USD,147100,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,90700,USD,90700,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Analyst,130000,USD,130000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,100000,USD,100000,United States,WFH,United States,Medium,Data Analyst
2023,Entry Level,Full Time,Applied Scientist,213660,USD,213660,United States,WFO,United States,Large,Data Scientist
2023,Entry Level,Full Time,Applied Scientist,130760,USD,130760,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Modeler,147100,USD,147100,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Modeler,90700,USD,90700,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,170000,USD,170000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,150000,USD,150000,United States,WFO,United States,Medium,Data Scientist
2023,Mid Level,Full Time,Data Analyst,150000,USD,150000,United States,WFH,United States,Medium,Data Analyst
2023,Mid Level,Full Time,Data Analyst,110000,USD,110000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Research Engineer,275000,USD,275000,Germany,WFO,Germany,Medium,Data Engineer
2023,Senior Level,Full Time,Research Engineer,174000,USD,174000,Germany,WFO,Germany,Medium,Data Engineer
2023,Senior Level,Full Time,Analytics Engineer,230000,USD,230000,United Kingdom,WFH,United Kingdom,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,143200,USD,143200,United Kingdom,WFH,United Kingdom,Medium,Data Analyst
2023,Senior Level,Full Time,Business Intelligence Engineer,225000,USD,225000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Business Intelligence Engineer,156400,USD,156400,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,200000,USD,200000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,130000,USD,130000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Strategist,90000,USD,90000,Canada,WFO,Canada,Medium,Data Engineer
2023,Senior Level,Full Time,Data Strategist,72000,USD,72000,Canada,WFO,Canada,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,253200,USD,253200,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,90700,USD,90700,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Computer Vision Engineer,342810,USD,342810,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Computer Vision Engineer,184590,USD,184590,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,162500,USD,162500,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,130000,USD,130000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Analyst,105380,USD,105380,United States,WFO,United States,Medium,Data Analyst
2023,Mid Level,Full Time,Data Analyst,64500,USD,64500,United States,WFO,United States,Medium,Data Analyst
2023,Entry Level,Full Time,Data Quality Analyst,100000,USD,100000,Nigeria,WFH,Nigeria,Large,Data Analyst
2023,Entry Level,Full Time,Compliance Data Analyst,30000,USD,30000,Nigeria,WFH,Nigeria,Large,Data Analyst
2022,Mid Level,Full Time,Machine Learning Engineer,1650000,INR,20984,India,Hybrid,India,Large,Data Engineer
2023,Entry Level,Full Time,Applied Scientist,204620,USD,204620,United States,WFO,United States,Large,Data Scientist
2023,Entry Level,Full Time,Applied Scientist,110680,USD,110680,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Engineer,270703,USD,270703,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,221484,USD,221484,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,212750,USD,212750,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,185000,USD,185000,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,262000,USD,262000,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,245000,USD,245000,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,275300,USD,275300,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,183500,USD,183500,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,218500,USD,218500,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,199098,USD,199098,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Engineer,203300,USD,203300,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,123600,USD,123600,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Research Engineer,189110,USD,189110,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Research Engineer,139000,USD,139000,United States,WFO,United States,Medium,Data Engineer
2023,Executive,Full Time,Data Scientist,258750,USD,258750,United States,WFO,United States,Medium,Data Scientist
2023,Executive,Full Time,Data Scientist,185000,USD,185000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Engineer,231500,USD,231500,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,166000,USD,166000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,172500,USD,172500,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,110500,USD,110500,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Engineer,238000,USD,238000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,176000,USD,176000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,237000,USD,237000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,201450,USD,201450,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Applied Scientist,309400,USD,309400,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Applied Scientist,159100,USD,159100,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Engineer,115000,USD,115000,United States,WFO,United States,Medium,Data Engineer
